cliente_id,customer_id_original,nome,estado,perfil_risco,origem_dado,renda_mensal,saldo_atual,churn_real,prob_churn,predicao_churn,risco,recomendacao
C005600,15635870,She,Alemanha,Conservador,public_kaggle_churn_modelling,16012.22,117721.02,1,0.964,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006059,15684868,Cameron,Alemanha,Conservador,public_kaggle_churn_modelling,11199.72,110993.79,1,0.9636,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009541,15634551,Williamson,Alemanha,Conservador,public_kaggle_churn_modelling,10896.0,115248.11,1,0.963,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002722,15576824,Kennedy,Alemanha,Conservador,public_kaggle_churn_modelling,8726.87,111760.4,1,0.9629,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003327,15799626,Donaghy,Alemanha,Conservador,public_kaggle_churn_modelling,1443.58,126345.55,1,0.9627,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007827,15647838,Davison,Alemanha,Conservador,public_kaggle_churn_modelling,1000.0,116574.84,1,0.9626,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008735,15642530,Coates,Alemanha,Conservador,public_kaggle_churn_modelling,11744.91,144090.42,1,0.9622,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006912,15710087,Nicholls,Alemanha,Conservador,public_kaggle_churn_modelling,8001.12,125889.3,1,0.9616,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005068,15602282,Kao,Alemanha,Conservador,public_kaggle_churn_modelling,10275.8,134980.74,1,0.9615,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000654,15664610,Campbell,Alemanha,Conservador,public_kaggle_churn_modelling,1607.26,133994.52,1,0.9612,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007396,15808386,Cocci,Alemanha,Conservador,public_kaggle_churn_modelling,4967.04,138523.2,1,0.9612,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C001535,15782736,Jose,Alemanha,Conservador,public_kaggle_churn_modelling,13669.84,152522.47,1,0.9603,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007156,15609070,Findlay,Alemanha,Conservador,public_kaggle_churn_modelling,3274.01,120961.5,1,0.9601,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000017,15737452,Romeo,Alemanha,Conservador,public_kaggle_churn_modelling,1000.0,132602.88,1,0.9596,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009820,15813946,Duffy,Alemanha,Conservador,public_kaggle_churn_modelling,4605.58,104682.83,1,0.9592,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004672,15808674,Ejikemeifeuwa,Alemanha,Conservador,public_kaggle_churn_modelling,12000.05,128352.59,1,0.9592,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009315,15645371,Cameron,Alemanha,Conservador,public_kaggle_churn_modelling,4469.24,147262.11,1,0.9591,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009107,15663650,Russell,Alemanha,Conservador,public_kaggle_churn_modelling,2400.53,107304.39,1,0.9591,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009402,15601857,Woodhouse,Alemanha,Conservador,public_kaggle_churn_modelling,6378.74,115518.07,1,0.9589,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003839,15778154,Kung,Alemanha,Conservador,public_kaggle_churn_modelling,1184.81,122227.71,1,0.9588,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009444,15687001,Chiemenam,Alemanha,Conservador,public_kaggle_churn_modelling,10026.23,123544.0,1,0.9587,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002450,15567980,Frater,Alemanha,Conservador,public_kaggle_churn_modelling,11738.15,100727.5,1,0.9586,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000431,15597602,Nwachinemelu,Alemanha,Conservador,public_kaggle_churn_modelling,6039.0,137946.39,1,0.9583,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005340,15733966,Johnstone,Alemanha,Conservador,public_kaggle_churn_modelling,2627.75,125292.53,1,0.9578,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000841,15707567,Esposito,Alemanha,Conservador,public_kaggle_churn_modelling,7661.34,145338.76,1,0.9577,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005449,15718912,Hsueh,Alemanha,Conservador,public_kaggle_churn_modelling,11035.39,126147.84,1,0.9577,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009833,15814690,Chukwujekwu,Alemanha,Conservador,public_kaggle_churn_modelling,7494.64,105736.32,1,0.9559,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002136,15704284,Ekechukwu,Alemanha,Conservador,public_kaggle_churn_modelling,2369.54,95295.39,1,0.9557,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003732,15568573,Graham,Alemanha,Conservador,public_kaggle_churn_modelling,14983.15,105701.91,1,0.9551,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008924,15570002,Burlingame,Alemanha,Conservador,public_kaggle_churn_modelling,11321.14,118772.71,1,0.955,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004893,15739592,Sokolov,Alemanha,Conservador,public_kaggle_churn_modelling,5898.22,98438.23,1,0.955,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000539,15794142,Ferreira,Alemanha,Conservador,public_kaggle_churn_modelling,1521.75,114931.35,1,0.9549,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009333,15638882,Cardell,Alemanha,Conservador,public_kaggle_churn_modelling,4047.6,148214.36,1,0.9548,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004521,15605826,Korovina,Alemanha,Conservador,public_kaggle_churn_modelling,12623.49,121063.8,1,0.9544,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008749,15673971,Houghton,Alemanha,Conservador,public_kaggle_churn_modelling,5404.46,146498.76,1,0.9544,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005106,15718465,Sadler,Alemanha,Conservador,public_kaggle_churn_modelling,14700.28,96891.46,1,0.9543,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006012,15783007,Parker,Alemanha,Conservador,public_kaggle_churn_modelling,3420.2,123086.39,1,0.9543,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002182,15738605,Fischer,Alemanha,Conservador,public_kaggle_churn_modelling,4143.76,123642.36,1,0.9543,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008171,15641366,Y?an,Alemanha,Conservador,public_kaggle_churn_modelling,7532.47,124737.96,1,0.9539,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003167,15746203,Hsia,Alemanha,Conservador,public_kaggle_churn_modelling,3625.59,119817.33,1,0.9539,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002310,15621210,Angelo,Alemanha,Conservador,public_kaggle_churn_modelling,2614.01,123444.72,1,0.9536,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002373,15578297,Ebelegbulam,Alemanha,Conservador,public_kaggle_churn_modelling,11542.5,125537.38,1,0.9536,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006602,15655213,Udinese,Alemanha,Conservador,public_kaggle_churn_modelling,13442.06,132508.3,1,0.9532,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009235,15766044,Cameron,Alemanha,Conservador,public_kaggle_churn_modelling,2064.18,120688.61,1,0.953,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008551,15709016,North,Alemanha,Conservador,public_kaggle_churn_modelling,13237.12,91219.29,1,0.9524,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006704,15583863,Chimaobim,Alemanha,Conservador,public_kaggle_churn_modelling,15606.71,142946.18,1,0.9522,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002542,15679770,Smith,Franca,Conservador,public_kaggle_churn_modelling,5519.85,131583.59,1,0.952,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002408,15579130,Chidiegwu,Alemanha,Conservador,public_kaggle_churn_modelling,15124.98,118994.84,1,0.9519,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006105,15750731,Trevisani,Alemanha,Conservador,public_kaggle_churn_modelling,15446.7,116309.01,1,0.9518,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007801,15795759,Bergamaschi,Alemanha,Conservador,public_kaggle_churn_modelling,14073.87,107906.75,1,0.9517,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000735,15612966,Milani,Alemanha,Conservador,public_kaggle_churn_modelling,14743.68,128981.07,1,0.9516,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004975,15744942,Steele,Espanha,Conservador,public_kaggle_churn_modelling,9082.27,155828.22,1,0.9515,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004243,15746553,Castles,Alemanha,Conservador,public_kaggle_churn_modelling,13288.07,124233.24,1,0.9512,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007662,15701738,Arcuri,Alemanha,Conservador,public_kaggle_churn_modelling,8139.79,115163.38,1,0.9507,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004598,15677105,Rossi,Alemanha,Conservador,public_kaggle_churn_modelling,9058.3,105214.58,1,0.9505,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007214,15623210,Smith,Alemanha,Conservador,public_kaggle_churn_modelling,11459.99,149349.58,1,0.9504,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003886,15618255,Fedorov,Alemanha,Conservador,public_kaggle_churn_modelling,11920.81,103244.86,1,0.9503,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002615,15640846,Chibueze,Alemanha,Conservador,public_kaggle_churn_modelling,10740.16,106458.31,1,0.9502,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006347,15814468,Wei,Alemanha,Conservador,public_kaggle_churn_modelling,7042.37,121399.98,1,0.9498,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006268,15689328,Harrison,Alemanha,Conservador,public_kaggle_churn_modelling,14439.43,114169.16,1,0.9491,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009745,15785358,Gresswell,Alemanha,Conservador,public_kaggle_churn_modelling,6613.92,106968.96,1,0.9488,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005011,15719508,Davis,Alemanha,Conservador,public_kaggle_churn_modelling,14006.71,121205.15,1,0.9486,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006400,15738501,Booth,Alemanha,Conservador,public_kaggle_churn_modelling,3484.71,163630.76,1,0.9481,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009394,15686060,Chou,Alemanha,Conservador,public_kaggle_churn_modelling,14902.28,111677.88,1,0.9481,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005257,15761497,Udinesi,Espanha,Conservador,public_kaggle_churn_modelling,13115.1,163760.82,1,0.9476,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008911,15744873,Wright,Alemanha,Conservador,public_kaggle_churn_modelling,8442.89,143595.87,1,0.9476,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009219,15806318,Wright,Alemanha,Conservador,public_kaggle_churn_modelling,1255.71,124442.38,1,0.947,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004436,15648967,Ch'en,Alemanha,Conservador,public_kaggle_churn_modelling,7063.36,169362.43,1,0.9467,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007318,15734008,Bartlett,Alemanha,Conservador,public_kaggle_churn_modelling,5985.84,152581.06,1,0.9467,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008299,15605534,Turnbull,Alemanha,Conservador,public_kaggle_churn_modelling,6052.4,95560.04,1,0.9463,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006858,15629299,Yang,Alemanha,Conservador,public_kaggle_churn_modelling,1962.37,106074.89,1,0.946,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002273,15570835,Fallaci,Alemanha,Conservador,public_kaggle_churn_modelling,3435.81,112044.72,1,0.9456,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004154,15664001,Riddle,Alemanha,Conservador,public_kaggle_churn_modelling,5845.07,95231.91,1,0.9451,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006794,15611669,Nyhan,Alemanha,Conservador,public_kaggle_churn_modelling,1000.0,126608.37,1,0.945,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009983,15768163,Griffin,Alemanha,Conservador,public_kaggle_churn_modelling,9595.53,137145.12,1,0.945,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009208,15643770,Yu,Franca,Conservador,public_kaggle_churn_modelling,1757.1,112670.48,1,0.9448,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009918,15755731,Davis,Alemanha,Conservador,public_kaggle_churn_modelling,10303.88,117005.55,1,0.9446,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002107,15659931,Ibezimako,Alemanha,Conservador,public_kaggle_churn_modelling,6786.0,123378.2,1,0.944,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C001963,15692416,Aikenhead,Espanha,Conservador,public_kaggle_churn_modelling,11829.93,143542.36,1,0.944,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C001368,15627232,Jibunoh,Alemanha,Conservador,public_kaggle_churn_modelling,6485.86,114203.47,1,0.9439,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002075,15805303,Olisanugo,Alemanha,Conservador,public_kaggle_churn_modelling,15811.9,141136.62,1,0.943,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007630,15591107,Flemming,Alemanha,Conservador,public_kaggle_churn_modelling,11831.46,110357.0,1,0.943,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008879,15675794,Hsing,Alemanha,Conservador,public_kaggle_churn_modelling,10153.35,152076.93,1,0.943,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009534,15733361,Davide,Alemanha,Conservador,public_kaggle_churn_modelling,7155.82,86714.06,1,0.943,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002269,15777553,Hanson,Franca,Conservador,public_kaggle_churn_modelling,8292.0,123785.24,1,0.9418,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007768,15748660,Ellis,Alemanha,Conservador,public_kaggle_churn_modelling,11087.64,102025.32,1,0.9416,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007458,15668889,Galgano,Alemanha,Conservador,public_kaggle_churn_modelling,2970.01,116322.27,1,0.9412,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007117,15788776,Landor,Alemanha,Conservador,public_kaggle_churn_modelling,3024.41,132623.76,1,0.9412,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005332,15700627,Y?,Alemanha,Conservador,public_kaggle_churn_modelling,13916.37,143500.82,1,0.9412,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007605,15636454,Fu,Franca,Conservador,public_kaggle_churn_modelling,14779.65,101070.69,1,0.9409,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004183,15577587,Reynolds,Alemanha,Conservador,public_kaggle_churn_modelling,3477.53,121016.23,1,0.9408,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007059,15671769,Zikoranachidimma,Franca,Conservador,public_kaggle_churn_modelling,6139.97,170252.05,1,0.9408,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005905,15664270,Balsillie,Alemanha,Conservador,public_kaggle_churn_modelling,15692.15,142084.04,1,0.9407,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005021,15669589,Page,Alemanha,Conservador,public_kaggle_churn_modelling,9705.93,95039.12,1,0.9406,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002236,15633930,Yobachukwu,Espanha,Conservador,public_kaggle_churn_modelling,11749.27,157559.59,1,0.9404,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007689,15592412,Sun,Alemanha,Conservador,public_kaggle_churn_modelling,6167.09,131038.14,1,0.9402,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008364,15677336,Aitken,Alemanha,Conservador,public_kaggle_churn_modelling,11030.9,120043.13,1,0.94,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C001798,15764170,Pinto,Alemanha,Conservador,public_kaggle_churn_modelling,3048.29,93960.35,1,0.94,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006876,15665283,Brookes,Franca,Conservador,public_kaggle_churn_modelling,9435.74,72092.95,1,0.9399,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002286,15783615,Ramos,Alemanha,Conservador,public_kaggle_churn_modelling,3981.28,129370.91,1,0.9393,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006275,15661275,Wynn,Alemanha,Conservador,public_kaggle_churn_modelling,12392.06,110791.97,1,0.9392,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003181,15750447,Ozoemena,Franca,Conservador,public_kaggle_churn_modelling,12290.81,117738.81,1,0.9392,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006913,15679884,Hs?eh,Franca,Conservador,public_kaggle_churn_modelling,8642.83,78314.63,1,0.939,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007774,15679818,Yuan,Alemanha,Conservador,public_kaggle_churn_modelling,5562.76,136709.35,1,0.9389,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005387,15668283,Gardiner,Franca,Conservador,public_kaggle_churn_modelling,6558.58,118317.27,1,0.9389,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005307,15749638,Kaodilinakachukwu,Franca,Conservador,public_kaggle_churn_modelling,13797.88,104760.82,1,0.9386,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C006813,15605059,Mackie,Alemanha,Conservador,public_kaggle_churn_modelling,5784.51,148843.56,1,0.9384,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007634,15727811,Ts'ui,Alemanha,Conservador,public_kaggle_churn_modelling,15693.67,109493.62,1,0.9379,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005809,15694556,Nkemakolam,Franca,Conservador,public_kaggle_churn_modelling,10021.48,116563.58,1,0.9372,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008953,15713975,Gibson,Alemanha,Conservador,public_kaggle_churn_modelling,13820.79,139756.12,1,0.937,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C005389,15669664,Thompson,Alemanha,Conservador,public_kaggle_churn_modelling,1000.0,99774.5,1,0.937,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002660,15679410,Caldwell,Franca,Conservador,public_kaggle_churn_modelling,2582.51,140549.4,1,0.9366,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C002370,15708212,Lin,Espanha,Conservador,public_kaggle_churn_modelling,14382.24,118241.02,1,0.9364,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000777,15712551,Shen,Alemanha,Conservador,public_kaggle_churn_modelling,10034.63,116922.25,1,0.9364,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000585,15803689,Begum,Alemanha,Conservador,public_kaggle_churn_modelling,4579.54,119741.77,1,0.9363,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C003931,15626008,Miller,Alemanha,Conservador,public_kaggle_churn_modelling,13563.02,111973.97,1,0.9363,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C008345,15712813,Nevzorova,Alemanha,Conservador,public_kaggle_churn_modelling,2111.09,150805.17,1,0.9362,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C004055,15734762,Ignatiev,Franca,Conservador,public_kaggle_churn_modelling,1000.0,115895.22,1,0.9359,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C009729,15764916,Rowley,Alemanha,Conservador,public_kaggle_churn_modelling,9605.21,95984.21,1,0.9355,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C007145,15577515,Sung,Alemanha,Conservador,public_kaggle_churn_modelling,11666.92,108477.27,1,0.9353,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
C000698,15620204,Walker,Alemanha,Conservador,public_kaggle_churn_modelling,10054.78,106138.33,1,0.9348,1,Alto,Oferecer plano de retencao com renegociacao e acompanhamento proximo.
