cliente_id,customer_id_original,nome,idade,genero,cidade,estado,renda_mensal,saldo_atual,score_credito,tempo_relacionamento,produtos_ativos,tem_cartao_credito,membro_ativo,perfil_risco,data_cadastro,churn_flag,origem_dado
C000027,15736816,Young,36,Masculino,Berlim,Alemanha,14170.16,136815.64,756,2,1,1,1,Arrojado,2023-04-05,0,public_kaggle_churn_modelling
C000028,15700772,Nebechi,44,Masculino,Paris,Franca,3202.78,0.0,571,9,2,0,0,Conservador,2016-04-05,0,public_kaggle_churn_modelling
C000029,15728693,McWilliams,43,Feminino,Berlim,Alemanha,8348.95,141349.43,574,3,1,1,1,Moderado,2022-04-03,0,public_kaggle_churn_modelling
C000030,15656300,Lucciano,29,Masculino,Paris,Franca,4456.93,59697.17,411,0,2,1,1,Moderado,2025-04-01,0,public_kaggle_churn_modelling
C000031,15589475,Azikiwe,39,Feminino,Madrid,Espanha,11705.78,0.0,591,3,3,1,0,Conservador,2022-04-01,1,public_kaggle_churn_modelling
C000032,15706552,Odinakachukwu,36,Masculino,Paris,Franca,13060.99,85311.7,533,7,1,0,1,Moderado,2018-04-01,0,public_kaggle_churn_modelling
C000033,15750181,Sanderson,41,Masculino,Berlim,Alemanha,6824.9,110112.54,553,9,2,0,0,Conservador,2016-03-31,0,public_kaggle_churn_modelling
C000034,15659428,Maggard,42,Feminino,Madrid,Espanha,2867.55,0.0,520,6,2,1,1,Conservador,2019-03-30,0,public_kaggle_churn_modelling
C000035,15732963,Clements,29,Feminino,Madrid,Espanha,11836.09,0.0,722,9,2,1,1,Moderado,2016-03-29,0,public_kaggle_churn_modelling
C000036,15794171,Lombardo,45,Feminino,Paris,Franca,2318.58,134264.04,475,0,1,1,0,Conservador,2025-03-26,1,public_kaggle_churn_modelling
C000037,15788448,Watson,31,Masculino,Madrid,Espanha,9505.56,145260.23,490,3,1,0,1,Moderado,2022-03-26,0,public_kaggle_churn_modelling
C000038,15729599,Lorenzo,33,Masculino,Madrid,Espanha,8204.45,76548.6,804,7,1,0,1,Arrojado,2018-03-26,0,public_kaggle_churn_modelling
C000039,15717426,Armstrong,36,Masculino,Paris,Franca,3401.08,0.0,850,7,1,1,1,Moderado,2018-03-25,0,public_kaggle_churn_modelling
C000040,15585768,Cameron,41,Masculino,Berlim,Alemanha,14839.5,70349.48,582,6,2,0,1,Moderado,2019-03-24,0,public_kaggle_churn_modelling
C000041,15619360,Hsiao,40,Masculino,Madrid,Espanha,5846.18,0.0,472,4,1,1,0,Conservador,2021-03-22,0,public_kaggle_churn_modelling
C000042,15738148,Clarke,51,Feminino,Paris,Franca,15108.14,122522.32,465,8,1,0,0,Conservador,2017-03-22,1,public_kaggle_churn_modelling
C000043,15687946,Osborne,61,Feminino,Paris,Franca,7846.15,117419.35,556,2,1,1,1,Moderado,2023-03-20,0,public_kaggle_churn_modelling
C000044,15755196,Lavine,49,Feminino,Paris,Franca,16197.15,131394.56,834,2,1,0,0,Moderado,2023-03-19,1,public_kaggle_churn_modelling
C000045,15684171,Bianchi,61,Feminino,Madrid,Espanha,13194.87,155931.11,660,5,1,1,1,Arrojado,2020-03-18,0,public_kaggle_churn_modelling
C000046,15754849,Tyler,32,Feminino,Berlim,Alemanha,10543.12,109421.13,776,4,2,1,1,Arrojado,2021-03-17,0,public_kaggle_churn_modelling
C000047,15602280,Martin,27,Feminino,Berlim,Alemanha,9975.68,112045.67,829,9,1,1,1,Arrojado,2016-03-17,1,public_kaggle_churn_modelling
C000048,15771573,Okagbue,39,Feminino,Berlim,Alemanha,9801.9,137843.8,637,9,1,1,1,Conservador,2016-03-16,1,public_kaggle_churn_modelling
C000049,15766205,Yin,38,Masculino,Berlim,Alemanha,7573.18,103391.38,550,2,1,0,1,Moderado,2023-03-14,0,public_kaggle_churn_modelling
C000050,15771873,Buccho,37,Feminino,Berlim,Alemanha,16174.93,103769.22,776,2,2,1,0,Moderado,2023-03-13,0,public_kaggle_churn_modelling
C000051,15616550,Chidiebele,44,Masculino,Berlim,Alemanha,16504.93,116363.37,698,10,2,1,0,Moderado,2015-03-14,0,public_kaggle_churn_modelling
C000052,15768193,Trevisani,36,Masculino,Berlim,Alemanha,7202.05,146050.97,585,5,2,0,0,Conservador,2020-03-11,0,public_kaggle_churn_modelling
C000053,15683553,O'Brien,33,Feminino,Paris,Franca,9748.18,0.0,788,5,2,0,0,Conservador,2020-03-10,0,public_kaggle_churn_modelling
C000054,15702298,Parkhill,41,Masculino,Berlim,Alemanha,13670.08,125561.97,655,8,1,0,0,Conservador,2017-03-10,1,public_kaggle_churn_modelling
C000055,15569590,Yoo,42,Masculino,Berlim,Alemanha,3334.56,98495.72,601,1,1,1,0,Conservador,2024-03-07,1,public_kaggle_churn_modelling
C000056,15760861,Phillipps,43,Masculino,Paris,Franca,9450.87,125211.92,619,1,1,1,1,Moderado,2024-03-06,0,public_kaggle_churn_modelling
C000057,15630053,Tsao,45,Masculino,Paris,Franca,7258.96,127864.4,656,5,1,1,0,Moderado,2020-03-06,0,public_kaggle_churn_modelling
C000058,15647091,Endrizzi,19,Masculino,Berlim,Alemanha,3801.15,75888.2,725,0,1,0,0,Moderado,2025-03-04,0,public_kaggle_churn_modelling
C000059,15623944,T'ien,66,Feminino,Madrid,Espanha,1000.0,0.0,511,4,1,1,0,Conservador,2021-03-04,1,public_kaggle_churn_modelling
C000060,15804771,Velazquez,51,Masculino,Paris,Franca,3897.94,40685.92,614,4,1,1,1,Moderado,2021-03-03,0,public_kaggle_churn_modelling
C000061,15651280,Hunter,35,Masculino,Berlim,Alemanha,7042.46,136857.0,742,5,1,0,0,Moderado,2020-03-02,0,public_kaggle_churn_modelling
C000062,15773469,Clark,27,Feminino,Berlim,Alemanha,10541.24,152328.88,687,9,2,0,0,Moderado,2016-03-02,0,public_kaggle_churn_modelling
C000063,15702014,Jeffrey,33,Masculino,Madrid,Espanha,14899.84,56084.69,555,1,2,0,0,Conservador,2024-02-28,0,public_kaggle_churn_modelling
C000064,15751208,Pirozzi,56,Masculino,Madrid,Espanha,8283.2,78707.16,684,8,1,1,1,Arrojado,2017-02-28,0,public_kaggle_churn_modelling
C000065,15592461,Jackson,26,Masculino,Berlim,Alemanha,7736.72,109166.37,603,4,1,1,1,Moderado,2021-02-26,0,public_kaggle_churn_modelling
C000066,15789484,Hammond,36,Feminino,Berlim,Alemanha,2313.2,169831.46,751,6,2,1,1,Arrojado,2019-02-26,0,public_kaggle_churn_modelling
C000067,15696061,Brownless,34,Feminino,Berlim,Alemanha,9202.63,101633.04,581,1,1,1,0,Conservador,2024-02-24,0,public_kaggle_churn_modelling
C000068,15641582,Chibugo,43,Masculino,Berlim,Alemanha,16389.44,123180.01,735,10,2,1,1,Arrojado,2015-02-25,0,public_kaggle_churn_modelling
C000069,15638424,Glauert,35,Feminino,Berlim,Alemanha,9471.4,150725.53,661,5,2,0,1,Arrojado,2020-02-23,0,public_kaggle_churn_modelling
C000070,15755648,Pisano,21,Feminino,Paris,Franca,1516.92,98373.26,675,8,1,1,0,Moderado,2017-02-22,0,public_kaggle_churn_modelling
C000071,15703793,Konovalova,58,Masculino,Berlim,Alemanha,2364.49,133745.44,738,2,4,1,0,Conservador,2023-02-20,1,public_kaggle_churn_modelling
C000072,15620344,McKee,29,Masculino,Paris,Franca,2829.49,0.0,813,6,1,1,0,Conservador,2019-02-20,0,public_kaggle_churn_modelling
C000073,15812518,Palermo,37,Feminino,Madrid,Espanha,3683.63,163607.18,657,0,1,0,1,Arrojado,2025-02-17,0,public_kaggle_churn_modelling
C000074,15779052,Ballard,25,Feminino,Berlim,Alemanha,4868.9,157780.84,604,5,2,1,1,Moderado,2020-02-18,0,public_kaggle_churn_modelling
C000075,15770811,Wallace,36,Masculino,Paris,Franca,12130.2,0.0,519,9,2,0,1,Conservador,2016-02-18,0,public_kaggle_churn_modelling
C000076,15780961,Cavenagh,21,Feminino,Paris,Franca,1865.67,178718.19,735,1,2,1,0,Moderado,2024-02-15,0,public_kaggle_churn_modelling
C000077,15614049,Hu,55,Masculino,Paris,Franca,11596.8,0.0,664,8,2,1,1,Moderado,2017-02-15,0,public_kaggle_churn_modelling
C000078,15662085,Read,32,Feminino,Paris,Franca,12350.89,0.0,678,9,1,1,1,Moderado,2016-02-15,0,public_kaggle_churn_modelling
C000079,15575185,Bushell,33,Masculino,Madrid,Espanha,16186.64,77253.22,757,5,1,0,1,Arrojado,2020-02-13,0,public_kaggle_churn_modelling
C000080,15803136,Postle,41,Feminino,Berlim,Alemanha,8191.8,122189.66,416,10,2,1,0,Conservador,2015-02-13,0,public_kaggle_churn_modelling
C000081,15706021,Buley,34,Feminino,Paris,Franca,14284.47,96645.54,665,1,2,0,0,Moderado,2024-02-10,0,public_kaggle_churn_modelling
C000082,15663706,Leonard,32,Feminino,Paris,Franca,11371.52,0.0,777,2,1,1,0,Conservador,2023-02-09,1,public_kaggle_churn_modelling
C000083,15641732,Mills,36,Feminino,Paris,Franca,2168.3,0.0,543,3,2,0,0,Conservador,2022-02-08,0,public_kaggle_churn_modelling
C000084,15701164,Onyeorulu,34,Feminino,Paris,Franca,13269.61,90307.62,506,4,1,1,1,Moderado,2021-02-07,0,public_kaggle_churn_modelling
C000085,15738751,Beit,46,Feminino,Paris,Franca,1000.0,0.0,493,4,2,1,0,Conservador,2021-02-06,0,public_kaggle_churn_modelling
C000086,15805254,Ndukaku,75,Feminino,Madrid,Espanha,9556.31,0.0,652,10,2,1,1,Moderado,2015-02-07,0,public_kaggle_churn_modelling
C000087,15762418,Gant,22,Masculino,Madrid,Espanha,10720.28,121681.82,750,3,1,1,0,Moderado,2022-02-04,1,public_kaggle_churn_modelling
C000088,15625759,Rowley,30,Masculino,Paris,Franca,12655.78,0.0,729,9,2,1,0,Conservador,2016-02-05,0,public_kaggle_churn_modelling
C000089,15622897,Sharpe,46,Feminino,Paris,Franca,7770.95,0.0,646,4,3,1,0,Conservador,2021-02-02,1,public_kaggle_churn_modelling
C000090,15767954,Osborne,28,Feminino,Berlim,Alemanha,13065.95,81623.67,635,3,2,1,1,Moderado,2022-02-01,0,public_kaggle_churn_modelling
C000091,15757535,Heap,44,Feminino,Madrid,Espanha,14517.1,0.0,647,5,3,1,1,Conservador,2020-02-01,1,public_kaggle_churn_modelling
C000092,15731511,Ritchie,45,Masculino,Paris,Franca,12261.04,118626.55,808,7,2,1,0,Moderado,2018-01-31,0,public_kaggle_churn_modelling
C000093,15809248,Cole,36,Feminino,Paris,Franca,9134.55,0.0,524,10,2,1,0,Conservador,2015-01-31,0,public_kaggle_churn_modelling
C000094,15640635,Capon,29,Masculino,Paris,Franca,14357.55,0.0,769,8,2,1,1,Moderado,2017-01-29,0,public_kaggle_churn_modelling
C000095,15676966,Capon,42,Masculino,Madrid,Espanha,7165.21,0.0,730,4,2,0,1,Moderado,2021-01-27,0,public_kaggle_churn_modelling
C000096,15699461,Fiorentini,35,Masculino,Madrid,Espanha,10106.48,176273.95,515,10,1,0,1,Moderado,2015-01-28,0,public_kaggle_churn_modelling
C000097,15738721,Graham,41,Masculino,Madrid,Espanha,5382.94,102827.44,773,9,1,0,1,Arrojado,2016-01-27,0,public_kaggle_churn_modelling
C000098,15693683,Yuille,29,Masculino,Berlim,Alemanha,16439.68,97086.4,814,8,2,1,1,Arrojado,2017-01-25,0,public_kaggle_churn_modelling
C000099,15604348,Allard,22,Masculino,Madrid,Espanha,8303.75,0.0,710,8,2,0,0,Conservador,2017-01-24,0,public_kaggle_churn_modelling
C000100,15633059,Fanucci,34,Masculino,Paris,Franca,1000.0,0.0,413,9,2,0,0,Conservador,2016-01-24,0,public_kaggle_churn_modelling
C000101,15808582,Fu,40,Feminino,Paris,Franca,13487.34,0.0,665,6,1,1,1,Moderado,2019-01-22,0,public_kaggle_churn_modelling
C000102,15743192,Hung,44,Feminino,Paris,Franca,13930.2,0.0,623,6,2,0,0,Conservador,2019-01-21,0,public_kaggle_churn_modelling
C000103,15580146,Hung,31,Masculino,Paris,Franca,3497.56,82674.15,738,9,1,1,0,Moderado,2016-01-21,0,public_kaggle_churn_modelling
C000104,15776605,Bradley,36,Masculino,Madrid,Espanha,5044.71,0.0,528,7,2,1,0,Conservador,2018-01-19,0,public_kaggle_churn_modelling
C000105,15804919,Dunbabin,65,Feminino,Madrid,Espanha,14804.64,0.0,670,1,1,1,1,Conservador,2024-01-17,1,public_kaggle_churn_modelling
C000106,15613854,Mauldon,46,Feminino,Madrid,Espanha,2582.05,107073.27,622,4,2,1,1,Conservador,2021-01-16,1,public_kaggle_churn_modelling
C000107,15599195,Stiger,32,Masculino,Berlim,Alemanha,1000.0,88938.62,582,1,1,1,1,Moderado,2024-01-15,0,public_kaggle_churn_modelling
C000108,15812878,Parsons,36,Feminino,Berlim,Alemanha,3081.38,99806.85,785,2,1,0,1,Arrojado,2023-01-14,0,public_kaggle_churn_modelling
C000109,15602312,Walkom,33,Masculino,Madrid,Espanha,5988.57,150092.8,605,5,1,0,0,Conservador,2020-01-14,0,public_kaggle_churn_modelling
C000110,15744689,T'ang,35,Masculino,Berlim,Alemanha,8287.49,92833.89,479,9,1,1,0,Conservador,2016-01-14,1,public_kaggle_churn_modelling
C000111,15803526,Eremenko,30,Masculino,Berlim,Alemanha,5256.91,90536.81,685,3,1,0,1,Arrojado,2022-01-11,0,public_kaggle_churn_modelling
C000112,15665790,Rowntree,39,Masculino,Berlim,Alemanha,2269.27,108055.1,538,7,2,1,0,Conservador,2018-01-11,0,public_kaggle_churn_modelling
C000113,15715951,Thorpe,42,Masculino,Paris,Franca,7233.12,100238.35,562,2,1,0,0,Conservador,2023-01-09,0,public_kaggle_churn_modelling
C000114,15591100,Chiemela,36,Masculino,Madrid,Espanha,1916.19,106190.55,675,9,1,0,1,Arrojado,2016-01-10,0,public_kaggle_churn_modelling
C000115,15609618,Fanucci,28,Masculino,Berlim,Alemanha,8441.75,154475.54,721,9,2,0,1,Moderado,2016-01-09,1,public_kaggle_churn_modelling
C000116,15675522,Ko,30,Feminino,Berlim,Alemanha,6180.76,132351.29,628,9,2,1,1,Moderado,2016-01-08,0,public_kaggle_churn_modelling
C000117,15705512,Welch,37,Feminino,Berlim,Alemanha,9636.52,167864.4,668,6,1,1,0,Moderado,2019-01-06,0,public_kaggle_churn_modelling
C000118,15698028,Duncan,41,Feminino,Paris,Franca,2647.19,0.0,506,1,2,1,0,Conservador,2024-01-04,0,public_kaggle_churn_modelling
C000119,15661670,Chidozie,31,Feminino,Berlim,Alemanha,16643.78,107818.63,524,8,1,1,0,Conservador,2017-01-04,1,public_kaggle_churn_modelling
C000120,15600781,Wu,34,Masculino,Berlim,Alemanha,10069.54,185173.81,699,4,2,1,0,Moderado,2021-01-02,0,public_kaggle_churn_modelling
C000121,15682472,Culbreth,34,Masculino,Paris,Franca,3177.65,129433.34,828,8,2,0,0,Moderado,2017-01-02,0,public_kaggle_churn_modelling
C000122,15580203,Kennedy,39,Masculino,Madrid,Espanha,8344.25,120193.42,674,6,1,0,0,Moderado,2019-01-01,0,public_kaggle_churn_modelling
C000123,15690673,Cameron,39,Feminino,Paris,Franca,11755.82,0.0,656,6,2,1,0,Conservador,2018-12-31,0,public_kaggle_churn_modelling
C000124,15760085,Calabresi,48,Feminino,Berlim,Alemanha,16510.78,126384.42,684,10,1,1,1,Arrojado,2014-12-31,0,public_kaggle_churn_modelling
C000125,15779659,Zetticci,28,Feminino,Paris,Franca,15303.87,0.0,625,3,1,0,0,Conservador,2021-12-28,0,public_kaggle_churn_modelling
C000126,15627360,Fuller,42,Masculino,Paris,Franca,9188.77,152603.45,432,9,1,1,0,Conservador,2015-12-29,1,public_kaggle_churn_modelling
C000127,15671137,MacDonald,52,Feminino,Paris,Franca,1000.0,0.0,549,1,1,0,1,Conservador,2023-12-26,1,public_kaggle_churn_modelling
C000128,15782688,Piccio,56,Masculino,Berlim,Alemanha,3902.01,148507.24,625,0,1,1,0,Conservador,2024-12-24,1,public_kaggle_churn_modelling
C000129,15575492,Kennedy,41,Feminino,Paris,Franca,14281.56,0.0,828,7,2,1,0,Conservador,2017-12-25,0,public_kaggle_churn_modelling
C000130,15591607,Fernie,24,Masculino,Paris,Franca,13938.03,101827.07,770,9,1,1,0,Moderado,2015-12-25,0,public_kaggle_churn_modelling
C000131,15740404,He,34,Feminino,Paris,Franca,10352.18,0.0,758,3,2,1,1,Moderado,2021-12-22,0,public_kaggle_churn_modelling
C000132,15718369,Kaodilinakachukwu,33,Feminino,Berlim,Alemanha,9577.93,130862.43,795,9,1,1,1,Arrojado,2015-12-23,0,public_kaggle_churn_modelling
C000133,15677871,Cocci,38,Masculino,Paris,Franca,2967.41,122570.87,687,9,1,1,1,Arrojado,2015-12-22,0,public_kaggle_churn_modelling
C000134,15642004,Alekseeva,25,Masculino,Paris,Franca,1371.61,0.0,686,1,2,0,1,Moderado,2023-12-19,0,public_kaggle_churn_modelling
C000135,15712543,Chinweike,39,Masculino,Berlim,Alemanha,10367.59,124828.46,789,7,2,1,1,Arrojado,2017-12-19,0,public_kaggle_churn_modelling
C000136,15584518,Arthur,50,Feminino,Berlim,Alemanha,2911.77,144895.05,589,5,2,1,1,Moderado,2019-12-18,0,public_kaggle_churn_modelling
C000137,15802381,Li,34,Feminino,Berlim,Alemanha,13982.02,63663.93,461,5,1,0,1,Moderado,2019-12-17,0,public_kaggle_churn_modelling
C000138,15610156,Ma,40,Masculino,Paris,Franca,7763.78,133463.1,637,2,1,0,1,Moderado,2022-12-15,0,public_kaggle_churn_modelling
C000139,15594408,Chia,48,Feminino,Madrid,Espanha,6263.44,213146.2,584,2,1,1,0,Conservador,2022-12-14,1,public_kaggle_churn_modelling
C000140,15640905,Vasin,35,Feminino,Madrid,Espanha,1000.0,129490.36,579,1,2,0,1,Conservador,2023-12-13,1,public_kaggle_churn_modelling
C000141,15698932,Groves,44,Masculino,Berlim,Alemanha,15795.32,137452.09,756,10,1,1,0,Moderado,2014-12-14,0,public_kaggle_churn_modelling
C000142,15724944,Tien,34,Masculino,Paris,Franca,15035.6,0.0,663,7,2,1,1,Moderado,2017-12-12,0,public_kaggle_churn_modelling
C000143,15628145,Forwood,43,Feminino,Paris,Franca,16109.86,125851.93,682,5,1,1,1,Arrojado,2019-12-11,0,public_kaggle_churn_modelling
C000144,15713483,Greeves,52,Masculino,Madrid,Espanha,13260.32,0.0,793,2,1,1,0,Conservador,2022-12-09,1,public_kaggle_churn_modelling
C000145,15612350,Taylor,31,Feminino,Paris,Franca,10517.82,40915.55,691,5,1,1,0,Conservador,2019-12-09,1,public_kaggle_churn_modelling
C000146,15800703,Madukwe,21,Feminino,Madrid,Espanha,4511.79,113157.22,485,5,1,1,1,Moderado,2019-12-08,0,public_kaggle_churn_modelling
C000147,15705707,Bennelong,29,Feminino,Madrid,Espanha,11756.29,138296.94,635,8,2,1,0,Conservador,2016-12-07,0,public_kaggle_churn_modelling
C000148,15754105,Olisanugo,37,Masculino,Paris,Franca,2041.25,106967.18,650,5,1,0,0,Moderado,2019-12-06,0,public_kaggle_churn_modelling
C000149,15703264,Chukwufumnanya,44,Masculino,Paris,Franca,6236.36,120681.63,735,9,1,1,0,Moderado,2015-12-06,0,public_kaggle_churn_modelling
C000150,15794413,Harris,32,Masculino,Paris,Franca,1000.0,0.0,416,0,2,0,1,Conservador,2024-12-02,0,public_kaggle_churn_modelling
C000151,15650237,Morgan,32,Feminino,Madrid,Espanha,7460.06,0.0,754,7,2,1,0,Conservador,2017-12-03,0,public_kaggle_churn_modelling
C000152,15759618,Alexeeva,48,Feminino,Paris,Franca,12491.07,0.0,535,9,1,1,0,Conservador,2015-12-03,1,public_kaggle_churn_modelling
C000153,15811589,Metcalfe,42,Masculino,Madrid,Espanha,15066.7,0.0,716,8,2,1,0,Conservador,2016-12-01,0,public_kaggle_churn_modelling
C000154,15689044,Humphries,37,Masculino,Paris,Franca,8220.52,127609.59,539,2,1,1,0,Conservador,2022-11-29,0,public_kaggle_churn_modelling
C000155,15709368,Milne,43,Feminino,Paris,Franca,9086.79,0.0,614,6,2,1,1,Conservador,2018-11-29,0,public_kaggle_churn_modelling
C000156,15679145,Chou,57,Masculino,Madrid,Espanha,1495.1,0.0,706,7,1,1,0,Conservador,2017-11-28,1,public_kaggle_churn_modelling
C000157,15655007,Li,33,Feminino,Paris,Franca,6916.37,0.0,758,7,2,0,0,Conservador,2017-11-27,0,public_kaggle_churn_modelling
C000158,15623595,Clayton,28,Feminino,Madrid,Espanha,7672.28,0.0,586,2,2,1,1,Conservador,2022-11-25,0,public_kaggle_churn_modelling
C000159,15589975,Maclean,73,Feminino,Paris,Franca,8726.64,97259.25,646,6,1,0,1,Arrojado,2018-11-25,0,public_kaggle_churn_modelling
C000160,15804017,Chigolum,33,Feminino,Berlim,Alemanha,9390.63,123246.7,631,4,1,0,0,Conservador,2020-11-23,0,public_kaggle_churn_modelling
C000161,15692132,Wilkinson,22,Feminino,Madrid,Espanha,7058.3,101060.25,717,6,1,0,1,Arrojado,2018-11-23,0,public_kaggle_churn_modelling
C000162,15641122,Wei,30,Masculino,Paris,Franca,6956.15,0.0,684,2,2,1,0,Conservador,2022-11-21,0,public_kaggle_churn_modelling
C000163,15630910,Treacy,49,Feminino,Paris,Franca,3927.09,108007.36,800,7,1,0,0,Moderado,2017-11-21,0,public_kaggle_churn_modelling
C000164,15680772,Hu,36,Feminino,Madrid,Espanha,8914.82,0.0,721,2,2,1,1,Moderado,2022-11-19,0,public_kaggle_churn_modelling
C000165,15658929,Taverner,29,Masculino,Madrid,Espanha,4631.88,133702.89,683,0,1,1,0,Conservador,2024-11-17,1,public_kaggle_churn_modelling
C000166,15585388,Sherman,31,Masculino,Berlim,Alemanha,11656.2,125189.75,660,9,2,1,1,Arrojado,2015-11-19,0,public_kaggle_churn_modelling
C000167,15724623,Taubman,24,Feminino,Berlim,Alemanha,13541.96,113034.22,704,7,1,1,0,Conservador,2017-11-17,1,public_kaggle_churn_modelling
C000168,15588537,Robinson,41,Feminino,Madrid,Espanha,16375.0,109013.23,615,9,1,1,0,Conservador,2015-11-17,0,public_kaggle_churn_modelling
C000169,15574692,Pinto,39,Feminino,Madrid,Espanha,3393.44,0.0,667,2,2,1,0,Conservador,2022-11-14,1,public_kaggle_churn_modelling
C000170,15611325,Wood,24,Masculino,Berlim,Alemanha,4427.86,57929.81,682,9,2,0,0,Moderado,2015-11-15,0,public_kaggle_churn_modelling
C000171,15587562,Hawkins,29,Feminino,Paris,Franca,13668.16,130114.39,484,4,1,1,0,Conservador,2020-11-12,0,public_kaggle_churn_modelling
C000172,15613172,Sun,27,Masculino,Berlim,Alemanha,12999.75,95826.49,628,5,2,1,0,Conservador,2019-11-12,0,public_kaggle_churn_modelling
C000173,15651022,Yost,44,Masculino,Berlim,Alemanha,1000.0,129608.57,480,10,1,1,0,Conservador,2014-11-12,1,public_kaggle_churn_modelling
C000174,15586310,Ting,30,Masculino,Paris,Franca,9348.93,169462.09,578,4,1,1,0,Conservador,2020-11-09,0,public_kaggle_churn_modelling
C000175,15625524,Rowe,40,Masculino,Paris,Franca,12204.82,0.0,512,5,2,1,1,Conservador,2019-11-09,0,public_kaggle_churn_modelling
C000176,15755209,Fu,35,Feminino,Madrid,Espanha,2273.84,133868.21,484,7,1,1,1,Moderado,2017-11-08,0,public_kaggle_churn_modelling
C000177,15645248,Ho,30,Feminino,Paris,Franca,10879.46,0.0,510,0,2,1,1,Conservador,2024-11-05,0,public_kaggle_churn_modelling
C000178,15790355,Okechukwu,36,Masculino,Berlim,Alemanha,14945.99,190479.48,606,5,2,0,0,Conservador,2019-11-06,0,public_kaggle_churn_modelling
